archivo,relacion_fundamental_harmonicos
_D4_025_fortissimo_arco-normal.mp3,0.33793157
_Ds6_025_fortissimo_arco-normal.mp3,0.35038945
_F5_025_fortissimo_arco-normal.mp3,0.3569219
_Cs6_05_fortissimo_arco-normal.mp3,0.3531254
_G4_1_fortissimo_arco-normal.mp3,0.316637
_C5_05_fortissimo_arco-normal.mp3,0.3187539
_Fs4_05_fortissimo_arco-normal.mp3,0.38708088
_B5_05_fortissimo_arco-normal.mp3,0.33550867
_Ds4_15_fortissimo_arco-normal.mp3,0.37937412
_D6_1_fortissimo_arco-normal.mp3,0.34578398
_Cs7_1_fortissimo_arco-normal.mp3,0.35029662
_F7_025_fortissimo_arco-normal.mp3,0.35867375
_B6_15_fortissimo_arco-normal.mp3,0.3592344
_Fs7_1_fortissimo_arco-normal.mp3,0.35285258
_As4_05_fortissimo_arco-normal.mp3,0.40692955
_As4_1_fortissimo_arco-normal.mp3,0.42668748
_Ds7_1_fortissimo_arco-normal.mp3,0.3489908
_E4_025_fortissimo_arco-normal.mp3,0.36734334
_Ds7_05_fortissimo_arco-normal.mp3,0.35173008
_G7_1_fortissimo_arco-normal.mp3,0.3584014
_Cs5_05_fortissimo_arco-normal.mp3,0.37325448
_G4_15_fortissimo_arco-normal.mp3,0.31853762
_B5_025_fortissimo_arco-normal.mp3,0.34801644
